company	layoff_date	jobs_cut	pct_workforce_cut	sector	country	hq_city	ai_cited	reason_stated	company_revenue_2025_bn	pre_layoff_headcount	stock_change_day_pct	simultaneous_ai_investment_bn	roles_most_affected	replacement_roles	ceo_quote	layoffs_2024	layoffs_2025	verified_source	month	quarter	region	layoff_size_category	stock_reaction	laid_off_vs_headcount_pct	data_as_of
Amazon	1/15/26	16000	2.7	E-Commerce/Cloud	USA	Seattle	FALSE	Reduce bureaucracy and management layers	716.9	1550000	1.2	100	Middle management, program managers	AI engineers, data architects	Moving faster with fewer layers	4000	14000	CNBC / NetworkWorld	Jan-26	Q1 2026	North America	Mega (5K+)	Positive	1.03	18-Mar-26
Block	2/28/26	4000	40	Fintech	USA	San Francisco	TRUE	AI tools replace roles enabling smaller teams	22.4	10000	5.8	2	QA testers, customer support, content	AI prompt engineers, ML engineers	Smaller team using AI can do more	0	1000	CNBC / Crunchbase	Feb-26	Q1 2026	North America	Large (2K-5K)	Positive	40	18-Mar-26
Meta Reality Labs	1/20/26	1500	10	Social Media/VR	USA	Menlo Park	TRUE	Pivot from metaverse to AI research	164.5	79000	2.1	115	VR/AR engineers, metaverse designers	AI researchers, LLM engineers	Redirecting investment toward AI R&D	0	500	InformationWeek / NYT	Jan-26	Q1 2026	North America	Medium (500-2K)	Positive	1.9	18-Mar-26
Atlassian	3/14/26	1600	10	Enterprise Software	Australia	Sydney	TRUE	Pivot to AI-first company strategy	5.1	16000	2	0.5	R&D engineers, QA, IT ops	AI product managers, enterprise sales	Bar for great software companies has gone up	0	500	TechRepublic / Metaintro	Mar-26	Q1 2026	Asia-Pacific	Medium (500-2K)	Positive	10	18-Mar-26
Oracle	2/1/26	30000	15	Enterprise Software	USA	Austin	TRUE	AI data centres replace human ops	52.9	200000	3.5	40	IT operations, database admins, support	AI infrastructure engineers, GPU specialists	Swapping workers for AI chips	6000	10000	IBTimes	Feb-26	Q1 2026	North America	Mega (5K+)	Positive	15	18-Mar-26
Salesforce	1/10/26	1000	1.4	CRM/SaaS	USA	San Francisco	TRUE	AI-driven efficiency and restructuring	37.9	72000	0.8	5	Sales support, Tier-1 customer service	Agentforce AI specialists	AI handles routine tasks at scale	1000	1000	NetworkWorld / Bloomberg	Jan-26	Q1 2026	North America	Medium (500-2K)	Positive	1.39	18-Mar-26
Autodesk	1/25/26	1000	9	Design Software	USA	San Francisco	FALSE	Post-Ansys acquisition restructuring	5.9	11000	1.5	0.3	Overlapping roles from merger	Cloud integration engineers	Realignment after Ansys acquisition	500	1200	NetworkWorld	Jan-26	Q1 2026	North America	Medium (500-2K)	Positive	9.09	18-Mar-26
eBay	1/28/26	800	5	E-Commerce	USA	San Jose	TRUE	AI-forward strategy in customer ops	10.3	11000	1.2	0.8	Content moderation, customer support	AI content reviewers	AI handles majority of support tickets	1000	1000	NetworkWorld	Jan-26	Q1 2026	North America	Medium (500-2K)	Positive	7.27	18-Mar-26
Pinterest	2/10/26	675	4	Social Media	USA	San Francisco	TRUE	AI-forward content and marketing strategy	3.6	3700	2.2	0.4	Content moderation, marketing roles	AI content specialists	Investing in AI-native workflows	1500	200	NetworkWorld	Feb-26	Q1 2026	North America	Medium (500-2K)	Positive	18.24	18-Mar-26
Ericsson	1/15/26	1600	12	Telecommunications	Sweden	Stockholm	FALSE	Declining 5G demand and cost reduction	24.3	105000	0.5	0.2	Network engineers, R&D staff	None announced	Operational efficiency initiatives	3000	5000	InformationWeek / FierceNetwork	Jan-26	Q1 2026	Europe	Medium (500-2K)	Positive	1.52	18-Mar-26
ASML	1/20/26	1700	3.4	Semiconductors	Netherlands	Veldhoven	FALSE	Chip market slowdown	30.8	42000	-1.2	0	Manufacturing support, admin roles	None announced	Aligning workforce with market demand	0	0	NetworkWorld	Jan-26	Q1 2026	Europe	Medium (500-2K)	Negative	4.05	18-Mar-26
ams OSRAM	2/5/26	2000	12	Semiconductors	Austria	Premstaetten	FALSE	Cost restructuring and portfolio focus	3.2	21000	0.8	0	Manufacturing, engineering support	None announced	Restructuring to improve profitability	0	500	NetworkWorld	Feb-26	Q1 2026	Europe	Medium (500-2K)	Positive	9.52	18-Mar-26
Ocado	1/30/26	1000	7	Grocery Tech	UK	Hatfield	TRUE	AI automation in warehouse operations	3.8	14000	1.1	0.5	Warehouse supervisors, logistics	Robotics engineers, AI ops	AI-driven warehouse automation	0	0	NetworkWorld	Jan-26	Q1 2026	Europe	Medium (500-2K)	Positive	7.14	18-Mar-26
WiseTech Global	2/20/26	2000	25	Logistics Software	Australia	Sydney	TRUE	AI replaces QA and testing teams	3.2	8000	3.2	0.3	QA engineers, manual testers	AI test automation engineers	AI tools handle testing workflows	0	0	Medha Cloud	Feb-26	Q1 2026	Asia-Pacific	Medium (500-2K)	Positive	25	18-Mar-26
Cisco	2/15/26	6000	7	Networking/Cybersecurity	USA	San Jose	FALSE	Restructuring after Splunk acquisition	56.9	85000	-0.5	2	Overlapping roles post-acquisition	Security AI specialists	Realigning global workforce	4200	6000	Computerworld	Feb-26	Q1 2026	North America	Mega (5K+)	Negative	7.06	18-Mar-26
T-Mobile	2/2/26	363	0.1	Telecommunications	USA	Bellevue	FALSE	Restructuring sales teams	80	71000	-0.3	0	Sales representatives	None announced	Reorganizing under new CEO	0	5000	FierceNetwork	Feb-26	Q1 2026	North America	Small (<500)	Negative	0.51	18-Mar-26
SK Battery America	3/16/26	958	37.3	EV Batteries	USA	Commerce GA	FALSE	Slowing EV demand	8.4	2566	-2.1	0	Battery production workers	None announced	EV market slowdown	0	0	Intellizence	Mar-26	Q1 2026	North America	Medium (500-2K)	Negative	37.33	18-Mar-26
Walgreens	3/11/26	1000	0.5	Retail Pharmacy	USA	Deerfield IL	FALSE	Store closures and cost restructuring	140	315000	-0.8	0	Pharmacy staff, store associates	None announced	Streamlining operations	3000	2000	Intellizence	Mar-26	Q1 2026	North America	Medium (500-2K)	Negative	0.32	18-Mar-26
Telefonica	1/15/26	5000	5	Telecommunications	Spain	Madrid	FALSE	Cost restructuring with compensation	44.5	100000	0.4	0	Legacy network operations	Digital roles	Voluntary redundancy offered	0	3000	FierceNetwork	Jan-26	Q1 2026	Europe	Large (2K-5K)	Positive	5	18-Mar-26
xAI	2/25/26	50	2	AI Research	USA	San Francisco	TRUE	Internal reorganization	0	2500	0	6	Senior engineers, co-founders	None announced	Reorganization confirmed by Musk	0	0	TechCrunch	Feb-26	Q1 2026	North America	Small (<500)	Neutral	2	18-Mar-26
Palo Alto Networks	2/18/26	500	2	Cybersecurity	USA	Santa Clara	FALSE	Post-CyberArk acquisition overlap	8	15000	0.5	0.5	Overlapping roles from merger	None announced	Eliminating post-acquisition redundancies	0	500	InformationWeek	Feb-26	Q1 2026	North America	Small (<500)	Positive	3.33	18-Mar-26
Livspace	2/10/26	1000	15	Interior Design Tech	India	Bangalore	TRUE	AI design tools replace human designers	0.3	7000	0	0.1	Interior designers, project managers	AI design specialists	AI-driven design automation	0	0	Medha Cloud	Feb-26	Q1 2026	Asia-Pacific	Medium (500-2K)	Neutral	14.29	18-Mar-26
General Motors Tech	1/22/26	1000	2	Automotive Tech	USA	Detroit	FALSE	Rethinking digital transformation	180	150000	-0.4	3	Software engineers, digital staff	None announced	Moving resources to highest-priority work	500	1500	Computerworld	Jan-26	Q1 2026	North America	Medium (500-2K)	Negative	0.67	18-Mar-26
Workday	1/28/26	2200	8.5	Enterprise SaaS	USA	Pleasanton CA	TRUE	AI investment and office space reduction	8.5	25800	1.8	1.5	Customer service, admin roles	AI success managers	Investing more in AI and international	1750	1750	Computerworld	Jan-26	Q1 2026	North America	Large (2K-5K)	Positive	8.53	18-Mar-26
Ergo Insurance	3/1/26	200	2	Insurance	Germany	Dusseldorf	TRUE	AI automates insurance tasks	0	9000	0	0.2	Claims processors, underwriters	AI system trainers	AI automates traditional insurance tasks	0	0	Intellizence	Mar-26	Q1 2026	Europe	Small (<500)	Neutral	2.22	18-Mar-26
Algoma Steel	3/7/26	1000	20	Manufacturing	Canada	Sault Ste Marie	FALSE	Blast furnace closure	2.8	5000	-1.5	0	Steel production workers	None announced	Closing blast furnace operations	0	0	Intellizence	Mar-26	Q1 2026	North America	Medium (500-2K)	Negative	20	18-Mar-26
Meta Platforms (Planned)	3/13/26	16000	20	Social Media/AI	USA	Menlo Park	TRUE	Offset AI infrastructure costs	164.5	79000	3	115	Engineering, middle management, ops	AI engineers, GPU infrastructure	Building personal superintelligence	0	0	CNBC / Reuters / IBTimes	Mar-26	Q1 2026	North America	Mega (5K+)	Positive	20.25	18-Mar-26
Algoma Steel	3/23/26	1000	20	Manufacturing	Canada	Sault Ste Marie	FALSE	Blast furnace closure effective	2.8	5000	-1.5	0	Steel workers	None announced	Effective layoff date per filing	0	0	Intellizence	Mar-26	Q1 2026	North America	Medium (500-2K)	Negative	20	18-Mar-26
